minutes_watched,days_engage,eng_quiz,eng_exam,eng_hub_qa,st_purch
1815.5,103,1,1,1,1
143.5,3,1,1,0,0
1.1,1,0,0,0,0
35.4,1,1,0,0,0
238.9,5,1,1,0,0
1.9,1,0,0,0,0
6.6,1,1,0,0,0
470.3,25,1,1,0,1
571.3,16,1,1,0,1
0.3,1,0,0,0,0
3.2,2,0,0,0,0
0.3,1,0,0,0,0
0.6,1,0,0,0,0
0.2,1,0,0,0,0
24.8,3,0,0,0,0
102.1,1,1,1,0,0
0.1,1,0,0,0,0
43.8,1,1,0,0,0
0.1,1,0,0,0,0
2.9,1,0,0,0,0
63.2,2,1,1,0,0
1.1,2,0,0,0,0
15.4,1,0,0,0,0
0.1,1,0,0,0,0
0.0,0,0,0,1,0
11.0,1,1,0,0,0
8.8,1,1,0,0,0
13.0,1,1,0,0,0
1.7,1,0,0,0,0
365.7,5,1,0,0,0
1.6,2,0,0,0,0
72.4,3,1,0,0,0
0.1,1,0,0,0,0
8.100000000000001,2,0,0,0,0
3.1,1,0,0,0,0
204.1,6,1,1,0,1
41.9,4,1,0,0,0
0.4,1,0,0,0,0
68.4,2,1,1,0,0
0.3,1,1,0,0,0
1.5,1,0,0,0,0
39.3,1,1,0,0,0
26.4,2,1,0,0,0
0.1,1,0,0,0,0
1.2,1,0,0,0,0
20.3,4,1,0,0,0
66.9,3,0,1,0,0
2.2,1,0,0,0,0
0.2,1,0,0,0,0
2.2,1,0,0,0,0
0.2,1,0,0,0,0
37.3,2,1,0,0,0
0.0,0,0,0,1,0
72.9,7,1,1,0,0
45.3,3,1,0,0,0
358.1,6,1,1,0,0
23.5,1,0,1,0,0
64.80000000000001,2,1,1,0,0
10.4,4,1,0,0,0
0.0,1,1,0,0,0
2.2,1,0,0,0,0
485.0,7,1,1,0,1
12.3,1,1,0,0,0
14.3,2,0,0,0,0
26.4,5,1,0,0,0
0.1,1,0,0,0,0
2.8000000000000003,2,0,0,0,0
1.0,2,0,0,0,0
28.4,3,1,0,0,0
111.9,11,1,0,0,0
1339.2,60,1,1,0,1
10.6,1,1,0,0,0
43.3,2,1,0,0,0
78.2,3,0,0,0,0
99.2,6,0,0,0,1
3.5,1,0,0,0,0
18.2,2,1,0,0,0
3.9,1,0,0,0,0
0.1,1,0,0,0,0
92.1,2,1,1,0,0
27.8,1,1,0,0,0
199.8,3,1,1,0,1
55.6,2,1,1,0,0
0.1,1,0,0,0,0
102.9,4,0,1,0,0
0.1,1,0,0,0,0
14.8,1,1,0,0,0
0.5,1,0,0,0,0
0.8,1,0,0,0,0
9.7,4,1,0,0,0
56.6,2,1,1,0,0
0.1,1,0,0,0,0
26.8,1,1,0,0,1
32.3,1,1,0,0,0
122.5,6,0,0,0,1
119.4,9,1,0,0,0
90.8,6,1,0,0,1
1.2,1,0,0,0,0
25.6,2,0,0,0,0
0.1,1,0,0,0,0
428.9,5,1,1,0,0
109.0,19,1,1,0,1
0.1,1,0,0,0,0
0.1,1,0,0,0,0
46.1,5,1,1,0,1
73.6,2,1,0,0,0
0.9,1,0,0,0,0
44.8,1,1,0,0,0
1.1,1,0,0,0,0
105.7,3,1,1,0,1
944.7,16,1,1,0,1
2.4,1,0,0,0,0
5.0,1,0,0,0,0
0.1,1,0,0,0,0
7.3,2,0,0,0,0
2899.1,50,1,1,0,1
592.0999999999999,15,1,0,0,1
0.1,1,0,0,0,0
218.6,13,1,1,0,1
9.7,1,1,0,0,0
1.8,1,0,0,0,0
2.3,1,0,0,0,0
39.3,5,1,0,0,0
91.6,5,1,1,0,0
3.0,1,0,0,0,0
294.3,12,1,1,0,1
2870.1,51,1,1,1,1
7.5,1,1,0,0,0
1.1,1,1,0,0,0
0.2,1,0,0,0,0
2.1,1,0,0,0,0
1262.1,25,1,1,0,1
10.4,2,1,0,0,1
0.3,1,0,0,0,0
0.3,1,0,0,0,0
0.8,1,0,0,0,0
2.2,1,0,0,0,0
0.3,1,0,0,0,0
22.2,2,1,0,0,0
13.4,1,1,0,0,0
38.9,1,1,0,0,0
693.1999999999999,15,1,1,0,1
17.2,1,1,0,0,0
0.4,1,0,0,0,0
7.4,1,1,0,0,0
1.9,1,1,0,0,0
17.2,2,1,0,0,0
9.7,1,0,0,0,0
5.4,1,0,0,0,0
1.3,1,0,0,0,0
183.4,10,1,1,0,0
3.9,1,0,0,0,0
17.3,1,0,0,0,0
12.8,1,0,1,0,0
20.200000000000003,3,1,0,0,0
61.9,2,1,1,0,0
1.0,1,0,0,0,0
0.5,1,0,0,0,0
20.7,2,1,0,0,0
0.1,1,0,0,0,0
0.5,1,0,0,0,0
0.4,1,0,0,0,0
118.2,4,1,1,0,0
0.1,1,0,0,0,0
1.5,1,0,0,0,0
72.6,3,1,0,0,0
1.9,1,0,0,0,0
13.7,1,0,1,0,0
2.7,2,0,0,0,0
2.4,1,0,0,0,0
0.1,1,0,0,0,0
0.2,1,0,0,0,0
14.5,2,1,0,0,0
22.8,1,1,0,0,0
76.4,10,0,0,0,1
1.4,1,0,0,0,0
47.6,4,1,0,0,0
82.69999999999999,2,1,1,0,0
8.0,1,1,0,0,0
13.8,2,1,0,0,0
0.2,1,0,0,0,0
43.4,2,1,0,0,0
42.3,2,1,0,0,1
3.6,1,0,0,0,0
22.5,2,0,0,0,0
8.8,1,0,0,0,0
2.3,1,0,0,0,0
4.4,1,0,0,0,0
69.80000000000001,2,1,0,0,0
76.9,15,1,1,0,0
24.0,2,1,0,0,0
4415.6,65,1,1,0,1
21.9,1,1,0,0,0
6.6,1,0,0,0,0
201.5,5,1,1,0,1
0.3,1,0,0,0,0
2.0,1,0,0,0,0
1.3,1,0,0,0,0
2.2,1,0,0,0,0
5.6,1,0,0,0,0
19.7,1,1,0,0,0
1.8,1,0,0,0,0
99.0,2,1,0,0,0
68.6,1,1,0,0,0
72.1,1,1,0,0,0
188.8,12,1,1,0,1
45.7,1,1,0,0,0
0.4,1,0,0,0,0
14.6,2,0,0,0,1
31.2,1,0,0,0,0
23.8,2,1,0,0,0
19.7,1,0,0,0,0
995.4,11,1,1,0,1
8.8,1,0,0,0,0
109.3,3,1,1,0,0
0.1,1,0,0,0,0
63.7,4,1,1,0,0
0.3,1,0,0,0,0
0.8,1,0,0,0,0
120.6,4,1,1,0,0
9.0,1,1,0,0,0
95.7,8,1,0,0,0
0.1,1,0,0,0,0
0.7,1,0,0,0,0
7.800000000000001,2,0,0,0,0
2.1,1,0,0,0,0
488.9,19,1,0,0,1
25.0,1,0,0,0,0
15.6,1,1,0,0,0
47.1,4,1,0,0,0
156.5,11,1,1,0,1
6.6,1,1,0,0,0
0.7,1,0,0,0,0
0.1,1,0,0,0,0
61.1,3,1,1,0,0
3.4,1,0,0,0,0
12.9,2,1,0,0,0
55.7,2,1,0,0,0
2.3,1,0,0,0,0
0.2,1,0,0,0,0
30.5,1,0,0,0,0
36.1,2,0,0,0,0
1.2,1,0,0,0,0
3.9,1,0,0,0,0
204.5,9,1,1,0,0
1.2,1,0,0,0,0
0.6,1,0,0,0,0
446.8,6,1,1,0,0
36.2,2,1,0,0,0
3.2,1,0,0,0,0
0.1,1,0,0,0,0
33.5,1,1,0,0,0
3823.9,117,1,1,1,1
11.2,1,1,0,0,0
442.3,14,1,1,0,1
1.2,1,0,0,0,0
231.9,12,1,1,0,1
18.8,1,1,0,0,0
9.6,2,0,0,0,0
6.8,4,0,0,0,0
1.7,1,0,0,0,0
3.9,1,0,0,0,0
64.0,2,1,0,0,0
15.9,1,1,0,0,0
4.6,1,0,0,0,0
1.6,1,0,0,0,0
48.3,4,1,0,0,0
60.7,2,1,0,0,0
30.0,2,1,0,0,0
9.0,1,0,0,0,0
88.19999999999999,3,0,0,0,0
1.6,1,0,0,0,0
9.9,3,0,0,0,0
19.4,1,1,0,0,0
45.9,3,0,0,0,0
1.2,1,0,0,0,0
2.5,1,0,0,0,0
0.7,1,0,0,0,0
5.6,1,0,0,0,0
27.2,1,1,0,0,0
1.0,1,0,0,0,0
39.1,6,1,0,0,1
27.4,1,1,0,0,0
32.7,1,1,0,0,0
2.3,3,0,0,0,0
46.4,4,1,0,0,0
243.3,5,1,1,0,1
1.3,1,1,0,0,0
0.1,1,0,0,0,0
0.5,1,0,0,0,0
115.3,7,0,0,0,0
88.0,4,1,1,0,0
3482.8,69,1,1,1,1
6.6,1,1,0,0,1
1075.9,32,1,1,0,1
12.9,1,1,0,0,0
0.7999999999999999,2,0,0,0,0
0.2,1,0,0,0,0
1999.5,32,1,1,0,1
17.900000000000002,4,1,0,0,0
0.6,1,0,0,0,0
11.0,2,1,0,0,0
71.7,1,1,1,0,0
25.9,2,1,0,0,0
0.4,1,0,0,0,0
6.3,1,0,0,0,0
2.1,1,0,0,0,0
0.6,1,0,0,0,0
1305.3,36,1,1,0,1
2.6,1,0,0,0,0
5.6,1,0,0,0,0
11.1,3,1,0,0,0
59.5,2,1,1,0,0
37.3,2,1,0,0,0
8.6,1,0,0,0,0
1.4,1,0,0,0,0
1.1,1,0,0,0,0
0.5,1,0,0,0,0
27.1,5,1,0,0,0
1.1,1,0,0,0,0
0.2,1,0,0,0,0
3.9,2,0,0,0,0
2.2,1,1,0,0,0
15.0,1,1,0,0,0
0.1,1,0,0,0,0
41.4,2,0,0,0,0
42.4,1,0,0,0,0
146.3,4,1,0,0,0
1.6,1,0,0,0,0
1.9,1,0,0,0,0
0.4,1,0,0,0,0
842.2,26,1,1,0,1
88.6,2,0,1,0,0
0.1,1,0,0,0,0
1.9,1,0,0,0,0
0.0,1,1,0,0,0
0.4,1,0,0,0,0
543.0,30,1,1,0,1
998.1,24,1,1,0,1
0.2,1,0,0,0,0
99.0,2,0,1,0,0
1004.4,47,1,1,0,1
0.9,1,0,0,0,0
0.3,1,0,0,0,0
0.2,1,0,0,0,0
230.9,4,1,1,0,1
63.6,4,1,1,0,0
168.8,14,1,1,0,1
0.9,1,0,0,0,0
41.0,2,1,1,0,0
46.5,5,1,0,0,1
11.2,1,1,0,0,0
61.6,2,1,1,0,0
30.1,5,0,0,0,0
0.2,1,0,0,0,0
0.6,1,0,0,0,0
33.0,3,0,1,0,0
6.2,1,1,0,0,0
211.0,5,1,1,0,0
21.0,1,0,0,0,0
1.2,1,1,0,0,0
10.2,2,1,0,0,0
18.9,1,1,0,0,0
82.9,1,1,1,0,0
65.3,2,1,0,0,0
1518.6,47,1,1,0,1
2.0,1,0,0,0,0
8.9,1,0,0,0,0
11.6,2,1,0,0,0
3.0,2,0,0,0,0
22.2,1,0,1,0,0
0.1,1,0,0,0,0
10.7,1,0,0,0,0
0.1,1,0,0,0,0
2.3,1,0,0,0,0
0.5,1,0,0,0,0
88.3,1,1,0,0,0
56.1,5,1,1,0,0
3.9,1,0,0,0,0
12.4,1,1,0,0,0
2.1,1,0,0,0,0
1.0,1,1,0,0,0
320.1,10,1,1,0,1
0.2,1,0,0,0,0
0.2,1,0,0,0,0
0.5,1,0,0,0,0
395.3,14,1,1,0,1
34.5,2,1,0,0,0
61.0,5,1,0,0,0
141.5,8,1,0,0,1
0.1,1,0,0,0,0
6.800000000000001,2,1,0,0,0
44.1,6,1,1,0,0
2965.2,70,1,1,0,1
30.7,1,0,0,0,0
1.1,1,0,0,0,0
64.6,1,1,1,0,0
0.1,1,0,0,0,0
34.1,3,0,0,0,0
108.9,1,1,1,0,0
48.3,1,0,1,0,0
50.5,4,1,0,0,0
128.4,7,1,1,0,0
44.7,2,1,0,0,0
24.4,1,1,0,0,0
41.1,2,1,0,0,0
0.1,1,0,0,0,0
29.5,1,0,1,0,0
54.9,2,1,0,0,0
11.8,1,1,0,0,0
0.1,1,0,0,0,0
7.4,1,0,0,0,0
0.4,1,0,0,0,0
10.8,1,1,0,0,0
0.7,1,0,0,0,0
0.7,1,0,0,0,0
48.0,2,1,0,0,0
0.1,1,0,0,0,0
38.3,2,0,0,0,0
9.0,2,1,0,0,0
1.2,1,0,0,0,0
6.6,1,1,0,0,0
0.9,1,0,0,0,0
1557.2,23,1,1,0,1
46.6,2,0,1,0,0
2.9,1,0,0,0,0
6.9,2,1,0,0,0
24.7,2,1,0,0,0
38.5,1,1,0,0,0
10.1,1,1,0,0,0
36.2,2,1,0,0,0
3.9,1,0,0,0,0
1685.9,28,1,1,0,1
4.6,1,0,0,0,0
194.3,7,1,1,0,0
1.7,1,0,0,0,0
1145.3,22,1,1,0,1
1.3,1,0,0,0,0
3.0,2,0,0,0,0
6.7,1,0,0,0,0
0.9,1,0,0,0,0
0.2,1,0,0,0,0
30.0,2,1,0,0,0
0.4,1,0,0,0,0
13.3,1,0,0,0,0
5.6,1,0,0,1,0
0.1,1,0,0,0,0
31.6,3,1,0,0,0
0.8,1,0,0,0,0
5.5,1,0,0,0,0
87.6,8,1,0,0,0
62.9,4,1,1,0,0
6.5,2,1,0,0,0
477.6,11,1,1,0,1
63.1,2,0,0,0,0
1972.3,65,1,1,0,1
9.6,1,1,1,0,0
1.2,1,0,0,0,0
1.6,1,0,1,0,0
3941.2,130,1,1,1,1
0.1,1,0,0,0,0
62.8,2,1,0,0,1
2.4,1,1,0,0,0
48.8,2,0,1,0,1
267.6,15,1,1,0,1
47.7,3,1,0,0,0
0.1,1,0,1,0,0
0.2,1,0,0,0,0
58.1,4,1,1,0,0
613.6,23,1,1,1,1
6.6,1,0,0,0,0
0.7,1,0,0,0,0
10.5,1,0,0,0,0
1265.9,34,1,1,0,0
35.8,1,1,0,0,0
18.9,2,1,0,0,0
4.7,1,0,0,0,0
1.3,1,0,0,0,0
617.1,20,1,1,0,1
86.2,2,1,1,0,0
3.3,1,0,0,0,0
67.5,5,1,1,0,1
116.5,5,1,1,0,1
2.4,1,0,0,0,0
0.6,1,0,0,0,0
112.0,7,1,1,0,0
56.6,1,1,1,0,0
29.8,1,0,1,0,0
1.0,1,0,0,0,0
29.5,3,0,1,0,0
0.1,1,0,0,0,0
5.2,1,1,0,0,0
0.1,1,0,0,0,0
8.6,1,1,0,0,0
0.2,1,0,0,0,0
31.0,4,1,0,0,0
8.1,1,0,0,0,0
0.3,1,0,0,0,0
15.3,1,1,0,0,0
0.0,1,1,0,0,0
184.3,4,0,1,0,0
0.9,1,0,0,0,0
32.1,1,1,0,0,0
40.0,2,1,0,0,0
11.2,1,1,0,0,0
13.6,4,1,0,0,0
29.2,3,0,0,0,0
0.3,1,0,0,0,0
22.9,2,1,0,0,0
0.4,1,0,0,0,0
6.6,1,1,0,0,0
56.0,2,0,0,0,0
338.7,16,1,1,0,1
144.5,11,1,1,0,0
1.1,1,0,0,0,0
0.7,1,0,0,0,0
0.3,1,0,0,0,0
10.7,1,1,0,0,0
4.0,1,0,0,0,0
2.4,2,0,0,0,0
2.6,1,0,0,0,0
0.4,1,0,0,0,0
7.4,2,0,0,0,0
40.6,2,0,0,0,0
5.7,1,0,0,0,0
0.6,1,0,0,0,0
2.5,1,0,0,0,0
874.0,24,1,1,1,1
24.9,3,1,0,0,0
416.4,6,1,1,0,1
10.4,1,1,0,0,0
1.1,1,0,0,0,0
0.8,1,0,0,0,0
422.3,21,1,1,0,1
0.7,1,0,0,0,0
14.4,1,1,0,0,0
0.1,1,0,0,0,0
43.1,11,1,0,0,1
262.0,6,1,1,0,1
0.0,1,1,0,0,0
103.8,4,0,1,1,0
0.1,1,0,0,0,0
55.6,1,0,0,0,0
4258.8,101,1,1,1,1
1.4,1,0,0,0,0
16.3,1,1,0,0,0
199.1,8,1,1,0,1
1029.7,45,1,1,0,1
3.3,1,0,0,0,0
18.6,1,0,0,0,0
1.8,1,0,0,0,0
9.3,1,0,0,0,0
7.8,3,0,0,0,0
0.1,1,0,0,0,0
20.1,2,0,0,0,0
5.3,2,0,0,0,0
10.4,1,1,0,0,0
60.2,1,1,1,0,0
9.4,7,1,0,0,0
18.0,1,1,0,0,0
2.2,1,0,0,0,0
7.2,1,0,0,0,0
18.1,1,1,0,0,0
0.3,1,0,0,0,0
11.2,1,1,0,0,0
8.3,1,1,0,0,0
36.3,2,0,0,0,0
0.9,1,0,0,0,0
1.6,1,0,0,0,0
17.0,2,0,0,0,0
0.7,1,0,0,0,0
1.2,1,0,0,0,0
44.6,3,1,0,0,0
4.2,1,0,0,0,0
20.8,1,1,0,0,0
70.3,2,1,0,0,0
56.0,2,1,0,0,0
24.5,1,1,0,0,0
253.8,9,1,1,0,1
0.2,1,0,0,0,0
0.7,1,1,1,0,0
2.4,1,0,0,0,0
0.5,1,0,0,0,0
1.3,1,0,0,0,0
0.4,1,0,0,0,0
0.3,1,0,0,0,0
10.6,1,1,0,0,0
10.6,1,1,0,0,0
6.8,1,0,0,0,0
0.3,1,1,0,0,0
8.5,1,0,0,0,0
2.5,2,0,0,0,0
51.5,2,1,1,0,0
3725.8,124,1,1,1,1
0.9,1,0,0,0,0
1.0,1,1,1,0,0
5.9,1,0,0,0,0
4.0,1,0,0,0,0
800.5,28,1,1,0,0
0.2,1,0,0,0,0
0.8,1,0,0,0,0
7.8,1,1,0,0,0
3.1,1,0,0,0,1
8.2,1,1,0,0,0
14.8,2,0,0,0,0
2063.0,32,1,1,0,1
31.7,3,1,0,0,0
0.2,1,1,0,0,0
67.8,1,0,1,0,0
20.6,5,0,1,0,0
0.4,1,0,0,0,0
360.7,9,1,1,1,1
0.1,1,0,0,0,0
7.3,1,0,0,0,0
44.8,1,1,0,0,0
7.6,3,1,0,0,0
4.4,1,0,0,0,0
6.6,1,1,0,0,0
0.6000000000000001,2,0,0,0,0
0.2,1,0,0,0,0
2.1,1,0,0,0,0
1.3,2,0,0,0,0
264.29999999999995,3,1,1,0,0
12.2,1,0,0,0,0
0.1,1,0,0,0,0
0.4,1,0,0,0,0
0.2,1,1,0,0,0
0.5,1,0,0,0,0
1.9,1,0,0,0,0
0.2,1,0,0,0,0
53.1,2,1,0,0,0
1.3,1,0,0,0,0
1014.0,44,1,1,0,1
0.2,1,0,0,0,0
5.1,1,0,0,0,0
3.6,3,0,0,0,0
0.1,1,0,0,0,0
119.6,3,1,1,0,0
60.3,1,1,1,0,0
28.5,2,0,0,0,0
1556.2,44,1,1,0,1
255.3,10,1,1,0,0
311.1,13,1,1,0,1
0.0,1,0,1,0,0
1.0,1,0,0,0,0
13.0,2,1,0,0,0
8.9,1,0,0,0,0
26.0,2,0,0,0,0
1.7999999999999998,2,0,0,0,0
2245.9,88,1,1,0,1
80.2,3,1,1,0,0
21.0,2,0,0,0,0
0.1,1,0,0,0,0
12.6,1,1,0,0,0
64.5,2,1,1,0,0
44.0,2,1,1,0,0
132.8,4,1,1,0,0
1.8,1,0,0,0,0
0.4,1,0,0,0,0
3037.3,70,1,1,0,1
3.2,1,0,0,0,0
1315.5,24,1,1,0,1
81.9,7,1,0,0,0
7.4,1,0,0,0,0
44.7,2,1,0,0,0
2.1,1,0,0,0,0
29.4,1,1,0,0,0
0.5,1,0,0,0,0
49.6,1,0,0,0,0
6.3,1,0,0,0,0
1.6,1,0,0,0,0
0.1,1,0,0,0,0
1.5,2,0,0,0,0
1279.4,34,1,1,1,1
2423.2,59,1,1,0,1
12.1,1,0,1,0,0
43.3,1,1,0,0,0
1.3,1,0,0,0,0
522.1,12,1,1,0,1
1.5,1,0,0,0,0
1.1,1,0,0,0,0
8.7,1,0,0,0,0
53.2,3,1,0,0,0
0.1,1,0,0,0,0
1.8,1,0,0,0,0
8.7,1,0,0,0,0
33.8,1,0,0,0,0
0.6,1,1,0,0,0
0.2,1,0,0,0,0
28.6,1,1,0,0,0
830.6,30,1,1,0,1
62.6,3,1,0,0,0
15.8,1,1,0,0,0
0.5,1,0,0,0,0
3.1,1,0,0,0,0
39.0,5,1,0,0,1
0.1,1,0,0,0,0
1.7,1,0,0,0,0
66.3,4,1,1,0,0
47.0,24,0,0,0,1
17.7,1,1,0,0,0
35.8,2,1,0,0,0
166.6,9,1,1,0,1
1.3,1,0,0,0,0
21.7,1,0,0,0,0
